num,Code,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
108,G,0.4,4,4,3,30,10,2.5,21.38200404,3.879295701,89.02331775,78.61799596,2.222751621,0.027762628,57.26392236,0.130872393,78.74953044,36.1909987,75.73799136
109,G,0.2,3,3,4,30,10,2.5,11.68059056,3.923472873,169.6508426,88.31940944,1.920040558,0.024973175,44.10942719,0.060847729,53.82895046,22.28440533,44.12469853
110,G,0.3,3,3,4,30,10,2.5,17.53561769,4.028843493,114.7556486,82.46438231,3.20967833,0.024547602,72.37054971,0.082394886,90.89167634,37.82719738,72.74243254
111,G,0.4,3,3,4,30,10,2.5,23.39349575,4.154422101,87.79829445,76.60650425,4.618828029,0.024363683,103.2940079,0.088732445,131.9520562,54.73553873,99.93834636
112,G,0.2,4,3,4,30,10,2.5,10.74459183,3.652312295,170.5864881,89.25540817,1.377060398,0.025635928,32.54810063,0.059690773,38.81613608,5.841078467,1.513490782
113,G,0.3,4,3,4,30,10,2.5,16.13879714,3.696421498,115.8259329,83.86120286,2.303599493,0.025463308,54.05006542,0.088905394,68.96124897,29.67529511,59.56776321
114,G,0.4,4,3,4,30,10,2.5,21.54773555,3.791450847,88.43995012,78.45226445,3.306857362,0.0252801,76.98396866,0.167642963,101.4126064,46.23156226,93.880857
115,G,0.2,3,4,4,30,10,2.5,10.56094152,3.536411338,171.3666489,89.43905848,1.533424851,0.024618279,34.68343102,0.050757039,41.3316701,17.12203138,37.21800084
116,G,0.3,3,4,4,30,10,2.5,15.865784,3.614962627,115.9357148,84.134216,2.55241551,0.024587884,57.65366669,0.076112854,69.82136711,28.6266516,61.42508795
117,G,0.4,3,4,4,30,10,2.5,21.16119873,3.709768742,88.73266627,78.83880127,3.648732078,0.024572,82.35918068,0.098944682,102.8784572,41.10024468,85.69961762
118,G,0.2,4,4,4,30,10,2.5,9.536467479,3.175508716,168.5195943,90.46353252,1.081733786,0.026507803,26.51091874,0.067290735,31.96515459,11.57518804,23.71553789
119,G,0.3,4,4,4,30,10,2.5,14.35505516,3.27964111,114.43009,85.64494484,1.806392309,0.026238341,43.78395287,0.130771208,55.96100797,23.19992433,42.62018862
120,G,0.4,4,4,4,30,10,2.5,19.16789717,3.364734518,87.84314326,80.83210283,2.57260239,0.026100338,62.00058751,0.168861866,84.28797534,33.75429532,59.99996666
121,G,0.2,3,3,3,60,10,2.5,12.65886269,4.218562119,167.7831911,87.34113731,1.595595689,0.027063902,39.99185321,0.105422688,51.61276268,22.72964646,45.95037745
122,G,0.3,3,3,3,60,10,2.5,19.02331729,4.278058325,114.208037,80.97668271,2.628577283,0.027029588,65.7922068,0.143519664,87.64219992,38.09007711,74.91883932
123,G,0.4,3,3,3,60,10,2.5,25.41241827,4.419198577,87.41725737,74.58758173,3.762411314,0.027034015,94.18826188,0.161295724,129.0753635,54.46885449,102.9921492
124,G,0.2,4,3,3,60,10,2.5,11.42977646,3.89281255,171.1449107,88.57022354,0.969890152,0.02812974,25.34297738,0.175294328,35.39084281,16.96906279,32.69173765
125,G,0.3,4,3,3,60,10,2.5,17.17787393,3.991816632,116.7110616,82.82212607,1.648477804,0.028155963,43.11752473,0.173951006,61.62338383,29.47046123,57.4453576
126,G,0.4,4,3,3,60,10,2.5,22.94069803,4.030441075,89.13067128,77.05930197,2.407602041,0.027960325,62.50213169,0.179052877,92.49036051,43.68410411,86.55119386
127,G,0.2,3,4,3,60,10,2.5,11.67965418,3.875618841,169.1463716,88.32034582,1.882770206,0.02432174,42.02670685,0.062117052,50.93365559,20.18323376,37.87864607
128,G,0.3,3,4,3,60,10,2.5,17.51729386,3.953597234,114.6695368,82.48270614,3.104325536,0.024282863,69.17326021,0.073511851,86.99868762,36.60920054,71.71157384
129,G,0.4,3,4,3,60,10,2.5,23.41546357,4.052281737,87.7997309,76.58453643,4.427092408,0.024182659,98.20468201,0.095094752,126.7174959,54.4664703,102.9078286
130,G,0.2,4,4,3,60,10,2.5,10.62476542,3.63799717,171.6075998,89.37523458,1.143020262,0.02632889,27.80841437,0.065965056,33.48605446,6.394562796,3.502735893
131,G,0.3,4,4,3,60,10,2.5,15.99050179,3.722981391,116.5831556,84.00949821,1.948257088,0.026132915,47.01712359,0.08373304,58.36371998,14.13361322,19.33790448
132,G,0.4,4,4,3,60,10,2.5,21.3606251,3.803523032,89.07685729,78.6393749,2.830598823,0.026044978,68.06168583,0.125591302,87.3993481,24.26985831,41.34721894
133,G,0.2,3,3,4,60,10,2.5,11.49261798,3.849174515,169.3651881,88.50738202,1.544998782,0.023565757,33.31906761,0.058157331,41.78895758,11.32313277,18.37633892
134,G,0.3,3,3,4,60,10,2.5,17.25177873,3.936387337,114.9467719,82.74822127,2.606907338,0.023532077,56.13212861,0.077124172,71.99908986,21.26572009,39.78736237
135,G,0.4,3,3,4,60,10,2.5,23.059106,4.051126821,87.85481008,76.940894,3.771083939,0.023412466,80.7482085,0.182023704,108.5797922,41.99169328,83.90897123
136,G,0.2,4,3,4,60,10,2.5,10.54342942,3.543225979,169.4914922,89.45657058,1.018331109,0.023361635,21.75321745,0.073251879,28.16124101,11.53855862,24.03945949
137,G,0.3,4,3,4,60,10,2.5,15.85354606,3.626978486,114.972262,84.14645394,1.793119388,0.023209708,38.03153841,0.080816865,49.58388881,21.69601317,45.60205097
138,G,0.4,4,3,4,60,10,2.5,21.18599454,3.687352597,87.57034374,78.81400546,2.670431679,0.0232367,56.71115586,0.103562236,74.93573941,32.451878,69.24607771
139,G,0.2,3,4,4,60,10,2.5,10.59084207,3.473197906,168.0648786,89.40915793,1.82890573,0.023705811,39.69788161,0.065920591,48.2590679,17.65459431,32.81977927
140,G,0.3,3,4,4,60,10,2.5,15.8243314,3.581452135,114.3842556,84.1756686,2.91062441,0.023394257,62.27064713,0.081135225,80.06884239,31.78368851,59.9045937
141,G,0.4,3,4,4,60,10,2.5,21.13929641,3.696140188,87.00657432,78.86070359,4.142360581,0.023935271,90.86380008,0.095067585,115.1448825,44.2307831,85.28551691
142,G,0.2,4,4,4,60,10,2.5,9.88786821,3.229807019,167.3731556,90.11213179,1.229285061,0.02403888,27.09206566,0.06467731,33.33009839,14.50169639,29.27219668
143,G,0.3,4,4,4,60,10,2.5,14.84214309,3.368492615,113.5514987,85.15785691,2.049319816,0.024172926,45.43941652,0.07862103,57.6554459,25.65524116,50.21545812
144,G,0.4,4,4,4,60,10,2.5,19.77111009,3.354482083,87.06442533,80.22888991,2.959336494,0.02423285,65.79448515,0.096373773,85.09619706,39.47759084,73.27310288
289,G,0.2,3,3,3,0,8,5,12.74406427,13.27673852,165.1379134,87.25593573,1.636660867,0.029547623,45.08611607,0.199761882,58.41901478,28.16498108,58.58309274
290,G,0.3,3,3,3,0,8,5,19.14535272,13.45142596,111.0644923,80.85464728,2.678738772,0.029215957,72.90444053,0.193399161,98.07286026,46.42810577,96.08078698
291,G,0.4,3,3,3,0,8,5,25.59223527,13.54390192,83.78316431,74.40776473,3.821722448,0.028880779,102.7308756,0.198487699,141.551614,64.90681268,135.031237
292,G,0.2,4,3,3,0,8,5,11.6783426,12.322846,167.3354347,88.3216574,1.06211276,0.037122727,37.30429672,0.194883794,45.88991869,21.89347925,46.35737416
293,G,0.3,4,3,3,0,8,5,17.47025955,12.45212388,112.8856302,82.52974045,1.765843499,0.036057135,60.13957068,0.159214467,76.70928411,36.11071954,75.31792138
294,G,0.4,4,3,3,0,8,5,23.39561373,12.40921137,84.85343674,76.60438627,2.542000342,0.035447045,85.02239868,0.179597199,111.1666524,51.12319294,103.5965071
