num,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
869,0.3,4,3,3,0,8,10,20.86726325,59.92371195,113.4731481,79.13273675,3.266440395,0.030098201,91.78109923,0.143810153,127.6735407,59.91610347,120.3095362
870,0.4,4,3,3,0,8,10,27.85534134,59.70771807,84.89752189,72.14465866,4.584744922,0.029491452,126.0412947,0.17053327,179.325371,83.18578129,164.483883
871,0.2,3,4,3,0,8,10,13.86116098,59.18304305,171.2786234,86.13883902,2.048316665,0.029412268,56.14900549,0.091634974,79.6074632,37.69480678,78.90014533
872,0.3,3,4,3,0,8,10,20.8791647,59.80534431,113.8968596,79.1208353,3.244745315,0.030178166,91.4309719,0.112003595,126.3754088,58.28324527,116.832528
873,0.4,3,4,3,0,8,10,27.8677035,60.1587343,85.17781301,72.1322965,4.662271578,0.029277774,127.1763887,0.145097017,180.2891027,80.55171226,159.9554882
874,0.2,4,4,3,0,8,10,12.64458921,54.30616878,171.2972512,87.35541079,1.822331998,0.025255643,42.37950207,0.125492707,59.6592853,28.61356045,59.33874207
875,0.3,4,4,3,0,8,10,19.00933553,54.91798341,114.3741202,80.99066447,2.901770999,0.024564059,65.47573168,0.176139325,96.81757678,45.29101213,89.52059511
876,0.4,4,4,3,0,8,10,25.33075744,55.28396845,86.00674178,74.66924256,4.082923594,0.024715671,92.7463499,0.1990529,137.2063547,63.11876073,124.4683571
877,0.2,3,3,4,0,8,10,14.02161403,60.91670797,170.5831175,85.97838597,2.791923755,0.035209806,92.71924657,0.121163048,110.0742009,48.95022245,99.57164028
878,0.3,3,3,4,0,8,10,20.99556805,60.40614687,113.5062737,79.00443195,4.401230052,0.034849489,144.5781602,0.137741968,174.5402058,77.08572918,152.4978047
879,0.4,3,3,4,0,8,10,28.04745671,60.16083669,84.41312839,71.95254329,6.076733447,0.034541114,197.7436745,0.149219573,243.3400079,105.9327261,208.0385875
880,0.2,4,3,4,0,8,10,12.75387368,54.73080289,171.0525023,87.24612632,1.864163709,0.041199334,73.07397608,0.102124184,86.58780195,40.01043425,84.48809239
881,0.3,4,3,4,0,8,10,19.12824815,54.95194248,113.2835093,80.87175185,3.105968166,0.038709685,114.0191139,0.117437795,139.089197,63.44682201,128.996533
882,0.4,4,3,4,0,8,10,25.51712865,54.65747712,84.82059238,74.48287135,4.405046138,0.037658387,157.076842,0.137843966,195.617853,86.98472726,173.3490306
883,0.2,3,4,4,0,8,10,12.73280411,54.70459539,170.7366075,87.26719589,1.862094176,0.041350825,73.27494295,0.097012922,86.57935574,39.99803563,84.27131125
884,0.3,3,4,4,0,8,10,19.14579375,55.40087928,113.1896553,80.85420625,3.102534416,0.03881348,114.2150898,0.118706547,139.4643687,63.40849281,128.6931118
885,0.4,3,4,4,0,8,10,25.55261628,54.78115643,85.16661822,74.44738372,4.40264968,0.037703991,157.1921636,0.135310382,195.7307058,86.78077769,172.0174148
886,0.2,4,4,4,0,8,10,11.59927597,48.90739559,166.9736779,88.40072403,2.047259985,0.027055162,51.29443081,0.106827259,67.86828294,31.8005405,66.8522832
