num,Code,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
1,S,0.2,3,3,3,0,8,2.5,17.58934038,5.592177866,204.2942366,82.41065962,4.463270806,0.02268299,92.31378537,0.171498284,134.1235902,61.92569858,126.1702631
2,S,0.3,3,3,3,0,8,2.5,26.48107844,5.733870761,134.9673834,73.51892156,7.304883861,0.022801105,151.949659,0.18282339,226.2058035,99.28533666,196.8242533
3,S,0.4,3,3,3,0,8,2.5,35.43356893,5.71154569,101.3812829,64.56643107,10.30488778,0.022829425,214.6448871,0.173998415,320.9642222,139.4933204,272.3947666
4,S,0.2,4,3,3,0,8,2.5,15.74385194,5.141275572,209.3103852,84.25614806,3.184138763,0.023107769,67.21006565,0.179050311,99.55831406,47.10476688,95.97727044
5,S,0.3,4,3,3,0,8,2.5,23.69453307,5.24020953,138.0728221,76.30546693,5.217364089,0.02311727,110.1764845,0.184093118,166.2117982,78.7182901,164.4950544
6,S,0.4,4,3,3,0,8,2.5,31.6751768,5.254021174,104.1509192,68.3248232,7.368009479,0.02306199,155.1849418,0.189119428,238.0428654,110.5384675,231.774525
7,S,0.2,3,4,3,0,8,2.5,15.99922911,5.105544261,209.3339953,84.00077089,3.69601391,0.023540378,79.61353791,0.165143788,113.9121689,52.17212945,104.6914666
8,S,0.3,3,4,3,0,8,2.5,24.01211645,5.187036665,137.8205733,75.98788355,6.067937157,0.023397793,129.8404628,0.178971499,194.0578708,85.2415847,172.6421085
9,S,0.4,3,4,3,0,8,2.5,32.07480234,5.185877164,103.1635703,67.92519766,8.621088276,0.023469403,185.0896187,0.184022278,280.6828905,115.432942,222.6023749
10,S,0.2,4,4,3,0,8,2.5,14.21602552,4.688948293,213.119907,85.78397448,2.586186463,0.02313505,54.65918016,0.132326096,77.14122873,37.51348134,76.6438817
11,S,0.3,4,4,3,0,8,2.5,21.35245207,4.724172136,140.4188388,78.64754793,4.30423195,0.023190646,91.20945535,0.165130034,132.5112422,61.98572876,129.2541367
12,S,0.4,4,4,3,0,8,2.5,28.49952136,4.709286469,105.9843716,71.50047864,6.141566801,0.023089203,129.5207501,0.170169353,192.971221,84.71810307,176.0013121
13,S,0.2,3,3,4,0,8,2.5,15.79726734,5.103857799,208.6589718,84.20273266,4.360547788,0.023352189,93.10724086,0.127305806,126.5314692,57.7343284,117.737351
14,S,0.3,3,3,4,0,8,2.5,23.74673766,5.227923493,138.1189183,76.25326234,7.091173981,0.023115649,149.7347374,0.157549754,216.3378765,91.92750315,177.4400654
15,S,0.4,3,3,4,0,8,2.5,31.77236481,5.227327462,103.9656631,68.22763519,10.0700766,0.022936207,210.82921,0.160075366,309.3412933,129.4247885,248.4929282
16,S,0.2,4,3,4,0,8,2.5,14.14309382,4.647695507,210.3626267,85.85690618,3.430746819,0.022874577,71.61538964,0.141068608,95.44399668,43.95197108,85.82999591
17,S,0.3,4,3,4,0,8,2.5,21.23779126,4.679654001,138.9124796,78.76220874,5.574112194,0.022759371,115.715064,0.146123469,161.4731511,72.28902406,144.3507252
18,S,0.4,4,3,4,0,8,2.5,28.34540662,4.747159186,105.2623031,71.65459338,7.838188955,0.022730204,162.4872589,0.142342925,230.3478008,103.7718441,205.432262
19,S,0.2,3,4,4,0,8,2.5,14.35002812,4.687180552,209.721517,85.64997188,3.91059661,0.023073859,82.41135981,0.119734794,108.7926723,48.43791974,94.5501661
20,S,0.3,3,4,4,0,8,2.5,21.53516377,4.731637029,138.3734024,78.46483623,6.347341926,0.023006687,133.3366279,0.168891758,185.3397913,81.22886067,156.5151452
21,S,0.4,3,4,4,0,8,2.5,28.7308273,4.744569043,104.2712153,71.2691727,8.955961218,0.022959431,187.7118481,0.18023333,270.384662,115.4138681,226.6160917
22,S,0.2,4,4,4,0,8,2.5,12.75330648,4.183245884,210.1222913,87.24669352,2.841034541,0.02298668,59.62388416,0.098297775,76.60908803,35.13658811,67.88388746
23,S,0.3,4,4,4,0,8,2.5,19.15872094,4.143747832,138.4125126,80.84127906,4.642333941,0.022879253,96.92846506,0.128550425,131.8915107,57.77984128,109.7356126
24,S,0.4,4,4,4,0,8,2.5,25.58721831,4.229175724,104.7619249,74.41278169,6.588378323,0.022780228,136.9080037,0.142410785,193.4699441,82.86448613,160.7991085
25,S,0.2,3,3,3,30,8,2.5,17.53019771,5.634806509,205.6156493,82.46980229,4.049334275,0.02436733,90.57279613,0.17599526,129.9222197,64.59448101,136.2583154
26,S,0.3,3,3,3,30,8,2.5,26.33258627,5.634035491,135.4545903,73.66741373,6.567346143,0.024306518,146.4946225,0.198810399,213.1203452,103.0900322,217.0491639
27,S,0.4,3,3,3,30,8,2.5,35.15391215,5.684650872,101.1411148,64.84608785,9.23745379,0.024282696,205.8353732,0.194999278,302.9216534,145.2113248,311.3068307
28,S,0.2,4,3,3,30,8,2.5,15.6996671,5.101113346,209.7170125,84.3003329,2.531687443,0.027605337,64.82471044,0.199996233,100.5919423,49.34563206,103.5635819
29,S,0.3,4,3,3,30,8,2.5,23.59235878,5.185559862,138.0705263,76.40764122,4.078712532,0.027845534,105.4165036,0.167353988,167.7513062,80.30580027,167.9387024
