num,Code,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
1078,D,0.2,4,4,4,60,15,10,11.60336061,90.84223872,167.129601,88.39663939,2.066216655,0.025236079,48.0107736,0.135223897,63.8908941,28.51723206,56.91193882
1079,D,0.3,4,4,4,60,15,10,17.3935286,92.02379126,111.2981039,82.6064714,3.355451279,0.025047164,77.33363541,0.168085543,104.9159752,45.1290973,85.50156074
1080,D,0.4,4,4,4,60,15,10,23.16984987,91.50924554,83.52995497,76.83015013,4.754732242,0.024922807,108.9918088,0.160499859,150.7992786,63.1086315,117.9795918
1081,D,0.2,3,3,3,0,20,10,15.35865687,160.9555967,166.4844282,84.64134313,4.095149705,0.021910555,81.53670208,0.160736251,117.4772773,42.53837342,89.23699524
1082,D,0.3,3,3,3,0,20,10,23.0810287,159.8758169,110.8107895,76.9189713,6.098600536,0.021745627,120.4206915,0.110630822,181.4879816,70.18996836,143.8762207
1083,D,0.4,3,3,3,0,20,10,30.78380582,159.3117057,82.2500419,69.21619418,8.21333278,0.021743349,162.1586982,0.11076808,251.8856348,98.45606889,209.6341326
1084,D,0.2,4,3,3,0,20,10,13.98188872,149.9401519,170.2091393,86.01811128,2.775948422,0.02093363,52.55877993,0.195128059,109.0825847,35.81981009,74.76409553
1085,D,0.3,4,3,3,0,20,10,20.9587547,148.4171033,112.7825233,79.0412453,4.875452339,0.022096347,97.97878117,0.172403264,140.2416096,56.38917454,116.8931291
1086,D,0.4,4,3,3,0,20,10,27.97817613,148.7922188,83.86827388,72.02182387,5.748147609,0.022341315,116.9248807,0.192437887,196.6685334,77.29497259,162.1258348
1087,D,0.2,3,4,3,0,20,10,13.97359055,149.9777558,169.9444435,86.02640945,2.883215221,0.022667141,59.58781564,0.198840857,80.89918788,35.93731538,73.41549114
1088,D,0.3,3,4,3,0,20,10,20.99800209,149.0486741,112.2644066,79.00199791,4.524396559,0.022533253,92.900577,0.120766342,124.5076867,56.85459432,117.4160986
1089,D,0.4,3,4,3,0,20,10,28.03160714,147.2417698,83.42184419,71.96839286,6.153824984,0.022764544,127.7813722,0.127056265,172.9675798,79.37870597,167.0454163
1090,D,0.2,4,4,3,0,20,10,12.73689668,135.7636191,171.3762474,87.26310332,2.14025611,0.022592984,44.07425887,0.199868906,60.33622158,27.59518448,58.33547205
1091,D,0.3,4,4,3,0,20,10,19.13950658,135.6008112,113.3642598,80.86049342,3.310205537,0.022540305,67.99262979,0.144599676,94.89194705,43.93930002,93.37494547
1092,D,0.4,4,4,3,0,20,10,25.48213277,135.5612575,85.0216821,74.51786723,4.612568794,0.022701536,95.48725748,0.18231895,133.3504194,61.86076825,132.4610039
1093,D,0.2,3,3,4,0,20,10,13.95398589,149.0874932,170.3635331,86.04601411,4.736385923,0.022745638,98.25934939,0.143938875,116.691894,39.28977254,67.76997399
1094,D,0.3,3,3,4,0,20,10,21.03380459,148.6908263,112.4893509,78.96619541,6.958831772,0.02154407,136.0038922,0.189547813,177.9870869,70.93041873,125.7189879
1095,D,0.4,3,3,4,0,20,10,28.05235152,147.0510406,83.51996596,71.94764848,9.155089876,0.022683105,189.3556853,0.17008419,281.9111312,72.6419826,204.369456
1096,D,0.2,4,3,4,0,20,10,12.72353837,135.3559143,169.8568899,87.27646163,3.441336529,0.023115964,72.66713802,0.159733725,90.1851978,39.40898132,77.2634147
1097,D,0.3,4,3,4,0,20,10,19.11129599,135.6026506,112.5647039,80.88870401,5.378338583,0.022690639,111.2812629,0.154699707,139.1126655,62.97057005,132.6709448
1098,D,0.4,4,3,4,0,20,10,25.5265033,134.9913436,83.69365008,74.4734967,7.389676534,0.022408243,150.8103176,0.123274231,190.6485772,81.87525428,157.8941448
1099,D,0.2,3,4,4,0,20,10,12.75125186,135.1047292,170.4901469,87.24874814,3.429455115,0.023113151,72.40660326,0.133319032,90.39330758,39.74441367,78.11413969
1100,D,0.3,3,4,4,0,20,10,19.16888466,136.931338,112.8532125,80.83111534,5.376347999,0.022659093,111.0704753,0.094324005,138.2269601,61.34060126,125.4699943
1101,D,0.4,3,4,4,0,20,10,25.51224333,134.8936982,84.08389657,74.48775667,7.399386309,0.022392445,150.8915749,0.125763178,190.8005113,81.8573609,159.6244468
1102,D,0.2,4,4,4,0,20,10,11.56092051,121.4619151,167.4593496,88.43907949,2.755170294,0.0227424,57.14884352,0.134542871,71.21315197,30.51668548,61.5665131
1103,D,0.3,4,4,4,0,20,10,17.37500873,122.4993213,111.1862777,82.62499127,4.276187523,0.022511633,87.71159087,0.198668098,109.2234937,47.83797183,98.90630622
1104,D,0.4,4,4,4,0,20,10,23.19670709,121.6377521,82.99113937,76.80329291,5.824833175,0.022361388,118.6016904,0.121979046,147.4826738,64.74568767,126.9742621
